iter	Passed	Remaining
587	308941	216469
588	309419	215910
589	309957	215394
590	310513	214890
591	311023	214354
592	311525	213812
593	312035	213276
594	312584	212767
595	313111	212243
596	313671	211741
597	314275	211269
598	314801	210743
599	315300	210200
600	315793	209653
601	316274	209098
602	316829	208592
603	317382	208085
604	317909	207561
605	318417	207024
606	318884	206460
607	319400	205929
608	319845	205352
609	320402	204847
610	320999	204368
611	321532	203847
612	322067	203328
613	322662	202846
614	323174	202312
615	323763	201826
616	324314	201316
617	324862	200805
618	325447	200316
619	325977	199792
620	326495	199261
621	326962	198700
622	327550	198212
623	328112	197708
624	328664	197198
625	329182	196668
626	329706	196141
627	330252	195627
628	330720	195067
629	331263	194551
630	331845	194058
631	332377	193536
632	332869	192990
633	333422	192480
634	333948	191954
635	334470	191426
636	334971	190886
637	335491	190357
638	335991	189816
639	336491	189276
640	337008	188745
641	337520	188212
642	338014	187668
643	338585	187168
644	339077	186624
645	339583	186087
646	340170	185595
647	340719	185082
648	341281	184575
649	341816	184054
650	342350	183533
651	342879	183009
652	343364	182461
653	343838	181908
654	344411	181407
655	344935	180881
656	345456	180352
657	345986	179829
658	346520	179307
659	347059	178788
660	347611	178275
661	348194	177779
662	348664	177224
663	349216	176711
664	349731	176180
665	350254	175653
666	350781	175127
667	351331	174613
668	351843	174080
669	352368	173554
670	352927	173044
671	353542	172562
672	354061	172032
673	354617	171521
674	355169	171007
675	355708	170487
676	356247	169967
677	356849	169477
678	357362	168944
679	357884	168416
680	358432	167900
681	358944	167367
682	359529	166868
683	360046	166337
684	360616	165830
685	361177	165320
686	361692	164788
687	362200	164253
688	362754	163739
689	363230	163190
690	363733	162653
691	364275	162134
692	364759	161589
693	365279	161060
694	365835	160546
695	366377	160026
696	366900	159498
697	367467	158990
698	367937	158439
699	368432	157899
700	368976	157380
701	369554	156876
702	370033	156329
703	370563	155805
704	371048	155261
705	371546	154723
706	371999	154166
707	372589	153666
708	373075	153124
709	373664	152623
710	374221	152109
711	374740	151580
712	375268	151054
713	375735	150504
714	376297	149992
715	376731	149429
716	377280	148912
717	377833	148396
718	378373	147876
719	378865	147336
720	379379	146805
721	379928	146288
722	380480	145771
723	380997	145242
724	381514	144712
725	382007	144173
726	382499	143634
727	382999	143098
728	383560	142585
729	384114	142069
730	384694	141563
731	385195	141027
732	385736	140507
733	386303	139995
734	386848	139476
735	387149	138868
736	387715	138357
737	388235	137828
738	388771	137306
739	389272	136771
740	389764	136233
741	390312	135714
742	390866	135198
743	391413	134679
744	391939	134153
745	392451	133622
746	393003	133105
747	393548	132585
748	394075	132060
749	394576	131525
750	395060	130985
751	395611	130467
752	396186	129957
753	396683	129421
754	397222	128900
755	397740	128371
756	398282	127850
757	398769	127311
758	399282	126781
759	399768	126242
760	400269	125708
761	400748	125168
762	401279	124643
763	401833	124126
764	402320	123588
765	402822	123055
766	403367	122535
767	403912	122015
768	404424	121485
769	404913	120948
770	405446	120424
771	405980	119900
772	406527	119381
773	407101	118869
774	407642	118347
775	408241	117842
776	408705	117299
777	409220	116769
778	409734	116240
779	410274	115718
780	410833	115201
781	411336	114669
782	411771	114118
783	412273	113585
784	412815	113064
785	413290	112524
786	413860	112010
787	414327	111468
788	414908	110957
789	415433	110431
790	415941	109901
791	416496	109382
792	417074	108870
793	417589	108341
794	418093	107810
795	418594	107278
796	419099	106746
797	419678	106234
798	420222	105713
799	420772	105193
800	421338	104677
801	421895	104158
802	422443	103638
803	422984	103115
804	423506	102588
805	424001	102055
806	424501	101522
807	425033	100998
808	425540	100467
809	426064	99941
810	426578	99412
811	427062	98876
812	427575	98347
813	428082	97817
814	428575	97284
815	429111	96760
816	429690	96246
817	430211	95719
818	430751	95196
819	431256	94666
820	431770	94137
821	432293	93610
822	432855	93092
823	433435	92578
824	433991	92058
825	434511	91531
826	435023	91002
827	435552	90477
828	436059	89947
829	436561	89416
830	437111	88895
831	437631	88367
832	438146	87839
833	438673	87313
834	439248	86797
835	439755	86267
836	440296	85744
837	440815	85217
838	441339	84690
839	441863	84164
840	442452	83650
841	442909	83111
842	443401	82578
843	443910	82049
844	444432	81523
845	445045	81013
846	445614	80494
847	446155	79971
848	446687	79446
849	447224	78922
850	447751	78395
851	448245	77864
852	448799	77342
853	449348	76820
854	449918	76301
855	450456	75777
856	450990	75252
857	451555	74733
858	452130	74214
859	452638	73685
860	453101	73148
861	453666	72628
862	454212	72105
863	454787	71586
864	455297	71058
865	455762	70522
866	456321	70000
867	456918	69485
868	457429	68956
869	457965	68431
870	458499	67906
871	459053	67383
872	459598	66860
873	460176	66341
874	460722	65817
875	461253	65291
876	461788	64766
877	462283	64235
878	462807	63708
879	463365	63186
880	463882	62658
